"","group_id","word","n","total","tf","idf","tf_idf"
"1",124,"the",99,1648,0.0600728155339806,0.0560894666510436,0.0033694521835275
"2",80,"the",91,2314,0.0393258426966292,0.0560894666510436,0.00220576554245677
"3",80,"i",89,2314,0.0384615384615385,0.00913248356327247,0.000351249367818172
"4",20,"the",79,1260,0.0626984126984127,0.0560894666510436,0.00351672052812099
"5",172,"the",79,1676,0.0471360381861575,0.0560894666510436,0.0026438352419048
"6",172,"is",71,1676,0.04236276849642,0.0370412716803491,0.00156917081700763
"7",10,"i",69,1407,0.0490405117270789,0.00913248356327247,0.000447861667282019
"8",172,"i",66,1676,0.0393794749403341,0.00913248356327247,0.000359632407622902
"9",66,"i",62,1280,0.0484375,0.00913248356327247,0.00044235467259601
"10",171,"i",62,1073,0.0577819198508854,0.00913248356327247,0.000527692433292538
"11",66,"the",60,1280,0.046875,0.0560894666510436,0.00262919374926767
"12",133,"i",59,1203,0.0490440565253533,0.00913248356327247,0.000447894040093995
"13",20,"i",55,1260,0.0436507936507936,0.00913248356327247,0.000398640155539671
"14",43,"i",54,891,0.0606060606060606,0.00913248356327247,0.000553483852319544
"15",172,"ok",54,1676,0.0322195704057279,0.125769387289033,0.00405223562864427
"16",182,"i",54,930,0.0580645161290323,0.00913248356327247,0.000530273239157756
"17",80,"to",53,2314,0.0229040622299049,0.0370412716803491,0.00084839559164153
"18",136,"the",52,801,0.0649188514357054,0.0560894666510436,0.00364126375262705
"19",185,"i",52,1386,0.0375180375180375,0.00913248356327247,0.000342632860959718
"20",185,"the",52,1386,0.0375180375180375,0.0560894666510436,0.00210436671418057
"21",52,"the",51,805,0.0633540372670807,0.0560894666510436,0.0035534941605009
"22",80,"so",51,2314,0.0220397579948142,0.0953101798043249,0.00210061329732955
"23",124,"i",51,1648,0.0309466019417476,0.00913248356327247,0.000282619333572146
"24",80,"is",50,2314,0.0216076058772688,0.0370412716803491,0.000800373199661821
"25",82,"i",50,1178,0.0424448217317487,0.00913248356327247,0.000387626636811225
"26",184,"the",50,985,0.050761421319797,0.0560894666510436,0.00284718104827632
"27",133,"is",49,1203,0.0407315045719036,0.0370412716803491,0.00150874672679726
"28",133,"the",49,1203,0.0407315045719036,0.0560894666510436,0.00228460836733261
"29",187,"i",49,1191,0.0411418975650714,0.00913248356327247,0.000375727703274854
"30",73,"i",48,675,0.0711111111111111,0.00913248356327247,0.000649421053388265
"31",10,"is",47,1407,0.0334044065387349,0.0370412716803491,0.00123734169792211
"32",100,"the",47,1071,0.0438842203548086,0.0560894666510436,0.00246144251409808
"33",56,"i",46,1303,0.0353031465848043,0.00913248356327247,0.000322405405917524
"34",56,"the",45,1303,0.034535686876439,0.0560894666510436,0.00193708825732691
"35",68,"the",45,848,0.0530660377358491,0.0560894666510436,0.00297644575388793
"36",144,"i",45,1102,0.0408348457350272,0.00913248356327247,0.000372923557483903
"37",21,"is",44,714,0.061624649859944,0.0370412716803491,0.00228265539766857
"38",80,"lol",44,2314,0.0190146931719965,0.640037355245997,0.0121701139286188
"39",3,"i",43,1179,0.0364715860899067,0.00913248356327247,0.00033307616049255
"40",124,"to",43,1648,0.0260922330097087,0.0370412716803491,0.000966489491659594
"41",136,"i",43,801,0.0536828963795256,0.00913248356327247,0.000490258168814877
"42",14,"the",42,586,0.0716723549488055,0.0560894666510436,0.00402006416270278
"43",184,"i",42,985,0.0426395939086294,0.00913248356327247,0.000389405390515171
"44",10,"ok",41,1407,0.0291400142146411,0.125769387289033,0.00366492173336913
"45",100,"i",41,1071,0.03828197945845,0.00913248356327247,0.000349609548173829
"46",161,"the",41,1134,0.0361552028218695,0.0560894666510436,0.00202792604293897
"47",172,"of",41,1676,0.0244630071599045,0.0755075525081451,0.00184714179763362
"48",178,"i",41,1188,0.0345117845117845,0.00913248356327247,0.000315178304793074
"49",187,"the",41,1191,0.0344248530646516,0.0560894666510436,0.00193087164793685
"50",68,"is",40,848,0.0471698113207547,0.0370412716803491,0.00174722979624288
"51",80,"that",40,2314,0.017286084701815,0.105360515657826,0.0018212707978881
"52",144,"next",40,1102,0.0362976406533575,0.189620859275566,0.00688278981036538
"53",172,"you",40,1676,0.0238663484486874,0.0276515313305099,0.000659941081873746
"54",32,"i",39,1095,0.0356164383561644,0.00913248356327247,0.000325266537869978
"55",32,"the",39,1095,0.0356164383561644,0.0560894666510436,0.00199770703140703
"56",142,"the",39,665,0.0586466165413534,0.0560894666510436,0.00328945744269278
"57",150,"the",39,938,0.0415778251599147,0.0560894666510436,0.00233207803772996
"58",164,"i",39,997,0.0391173520561685,0.00913248356327247,0.000357238574691702
